1000,206
2000,382
3000,164
4000,152
5000,190
6000,384
7000,304
8000,68
9000,64
10000,63
11000,293
12000,227
13000,335
14000,118
15000,186
16000,326
17000,198
18000,469
19000,242
20000,139
21000,446
22000,491
23000,412
24000,129
25000,233
26000,389
27000,379
28000,445
29000,397
30000,196
31000,147
32000,354
33000,326
34000,395
35000,479
36000,323
37000,83
38000,181
39000,427
40000,357
41000,202
42000,238
43000,136
44000,218
45000,248
46000,362
47000,365
48000,238
49000,335
50000,287
51000,338
52000,141
53000,419
54000,434
55000,424
56000,220
57000,167
58000,284
59000,380
60000,175
61000,86
62000,162
63000,308
64000,428
65000,407
66000,375
67000,269
68000,390
69000,166
70000,391
71000,412
72000,360
73000,96
74000,414
75000,81
76000,84
77000,226
78000,66
79000,366
80000,308
81000,411
82000,483
83000,206
84000,207
85000,207
86000,244
87000,382
88000,277
89000,339
90000,163
91000,313
92000,171
93000,301
94000,269
95000,193
96000,77
97000,475
98000,161
99000,312
100000,255
101000,148
102000,282
103000,100
104000,469
105000,286
106000,110
107000,496
108000,349
109000,236
110000,379
111000,124
112000,112
113000,317
114000,228
115000,142
116000,193
117000,270
118000,345
119000,175
120000,363
121000,437
122000,390
123000,129
124000,369
125000,244
126000,90
127000,307
128000,488
129000,275
130000,171
131000,119
132000,421
133000,262
134000,306
135000,354
136000,113
137000,163
138000,281
139000,303
140000,311
141000,136
142000,219
143000,434
144000,386
145000,111
146000,81
147000,244
148000,83
149000,402
150000,192
151000,157
152000,493
153000,264
154000,291
155000,183
156000,424
157000,291
158000,366
159000,102
160000,119
161000,154
162000,245
163000,163
164000,399
165000,301
166000,245
167000,97
168000,391
169000,408
170000,439
171000,88
172000,209
173000,288
174000,260
175000,270
176000,99
177000,124
178000,479
179000,85
180000,69
181000,349
182000,78
183000,277
184000,448
185000,87
186000,97
187000,485
188000,431
189000,480
190000,170
191000,449
192000,314
193000,108
194000,270
195000,437
196000,375
197000,336
198000,174
199000,362
200000,383
201000,489
202000,260
203000,73
204000,371
205000,321
206000,320
207000,443
208000,149
209000,442
210000,109
211000,367
212000,362
213000,325
214000,291
215000,222
216000,228
217000,113
218000,171
219000,203
220000,181
221000,424
222000,264
223000,481
224000,420
225000,416
226000,469
227000,258
228000,428
229000,153
230000,80
231000,72
232000,373
233000,452
234000,301
235000,342
236000,285
237000,79
238000,78
239000,114
240000,75
241000,335
242000,453
243000,323
244000,452
245000,430
246000,99
247000,462
248000,471
249000,191
250000,326
251000,428
252000,86
253000,435
254000,488
255000,213
256000,222
257000,246
258000,450
259000,432
260000,87
261000,426
262000,469
263000,296
264000,116
265000,441
266000,96
267000,388
268000,417
269000,394
270000,357
271000,198
272000,83
273000,446
274000,378
275000,324
276000,124
277000,217
278000,209
